City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avarua,CK,-21.2078,-159.775,78.85,89,20,13.8,few clouds
80,The Valley,AI,18.217,-63.0578,77.14,73,75,14.97,broken clouds
81,Kahului,US,20.8947,-156.47,76.96,72,20,14.97,few clouds
82,San Patricio,US,28.017,-97.5169,65.16,58,23,5.86,few clouds
83,Maniitsoq,GL,65.4167,-52.9,3.83,72,100,13.27,overcast clouds
84,Zhuhai,CN,22.2769,113.5678,62.31,82,20,13.8,few clouds
85,Labuan,MY,5.2767,115.2417,79.16,83,20,5.01,few clouds
86,East London,ZA,-33.0153,27.9116,74.34,82,1,19.8,clear sky
87,Bluff,NZ,-46.6,168.3333,47.8,72,3,5.14,clear sky
88,Longyearbyen,SJ,78.2186,15.6401,19.24,63,20,11.5,few clouds
89,Cherskiy,RU,68.75,161.3,-31.25,100,22,1.92,few clouds
90,Tura,IN,25.5198,90.2201,51.55,81,0,3.04,clear sky
91,Qaanaaq,GL,77.484,-69.3632,-12.8,59,28,7.85,scattered clouds
92,Neiafu,TO,-18.65,-173.9833,79.48,94,100,4.61,light rain
93,Provideniya,RU,64.3833,-173.3,-6.21,85,2,3.33,clear sky
94,Hamilton,US,39.1834,-84.5333,40.86,58,0,1.99,clear sky
95,Buraydah,SA,26.326,43.975,55.85,39,0,4.94,clear sky
96,Kavieng,PG,-2.5744,150.7967,81.05,78,77,3.15,broken clouds
97,Russell,US,32.3502,-85.1999,56.97,51,62,6.96,broken clouds
98,Yerbogachen,RU,61.2767,108.0108,-8.0,100,100,1.97,overcast clouds
99,Oroville,US,39.5138,-121.5564,74.73,53,0,3.0,clear sky
100,Puri,IN,19.8,85.85,63.12,51,98,3.24,overcast clouds
101,Sao Filipe,CV,14.8961,-24.4956,73.11,73,0,9.69,clear sky
102,Lavrentiya,RU,65.5833,-171.0,-12.66,93,11,6.53,few clouds
103,Mokokchung,IN,26.3333,94.5333,39.56,91,1,3.24,clear sky
104,Sakakah,SA,29.9697,40.2064,49.57,52,1,7.52,clear sky
105,Berezovyy,RU,51.6667,135.7,1.54,98,100,1.77,overcast clouds
106,Carnarvon,AU,-24.8667,113.6333,75.27,69,100,24.16,overcast clouds
107,Bethel,US,41.3712,-73.414,30.29,56,0,1.01,clear sky
108,Khora,GR,37.05,21.7167,46.78,90,80,5.12,broken clouds
