City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mataura,NZ,2022-02-03 23:10:29,-46.1927,168.8643,52.48,99,100,2.37
68,Bredasdorp,ZA,2022-02-03 23:10:30,-34.5322,20.0403,62.28,71,20,5.44
69,Novoilinsk,RU,2022-02-03 23:10:30,51.6829,108.7143,-16.58,100,92,1.66
70,Torbay,CA,2022-02-03 23:10:30,47.6666,-52.7314,36.57,85,100,7.0
71,Rundu,NA,2022-02-03 23:10:31,-17.9333,19.7667,68.04,87,100,1.61
72,Hilo,US,2022-02-03 23:07:57,19.7297,-155.09,80.33,67,0,6.91
73,Severo-Kurilsk,RU,2022-02-03 23:10:31,50.6789,156.125,30.94,83,100,9.53
74,Port Hedland,AU,2022-02-03 23:06:43,-20.3167,118.5667,80.65,78,55,6.91
75,Los Llanos De Aridane,ES,2022-02-03 23:10:32,28.6585,-17.9182,62.35,66,0,5.01
76,Selikhino,RU,2022-02-03 23:10:32,50.3672,137.4996,-6.38,98,100,4.14
77,Ponta Do Sol,PT,2022-02-03 23:09:04,32.6667,-17.1,68.0,77,46,3.85
78,Camacha,PT,2022-02-03 23:10:33,33.0833,-16.3333,64.53,88,20,8.05
79,San Quintin,MX,2022-02-03 23:10:33,30.4833,-115.95,60.69,48,2,9.17
80,Cidreira,BR,2022-02-03 23:10:34,-30.1811,-50.2056,76.21,86,61,21.79
81,Lebu,CL,2022-02-03 23:10:34,-37.6167,-73.65,61.54,88,93,12.17
82,Kahului,US,2022-02-03 23:10:34,20.8947,-156.47,83.46,54,20,12.66
83,Doha,QA,2022-02-03 23:06:22,25.2867,51.5333,60.78,88,0,1.14
84,Ribeira Grande,PT,2022-02-03 23:10:35,38.5167,-28.7,58.68,74,100,18.12
85,Hovd,MN,2022-02-03 23:07:47,48.0056,91.6419,-9.83,82,24,3.85
86,Jablah,SY,2022-02-03 23:10:36,35.3614,35.9256,54.57,75,98,6.38
87,Kasungu,MW,2022-02-03 23:10:36,-13.0333,33.4833,65.03,95,44,2.46
88,Ust-Kuyga,RU,2022-02-03 23:05:51,70.0167,135.6,-28.79,100,100,4.56
89,Hami,CN,2022-02-03 23:07:38,42.8,93.45,22.5,37,22,2.37
90,Airai,TL,2022-02-03 23:11:37,-8.9266,125.4092,63.7,88,100,2.66
91,Itarema,BR,2022-02-03 23:11:37,-2.9248,-39.9167,80.46,80,92,13.62
92,Butaritari,KI,2022-02-03 23:07:51,3.0707,172.7902,82.11,74,24,15.32
93,Dikson,RU,2022-02-03 23:11:38,73.5069,80.5464,-14.26,98,99,5.7
94,Salo,IT,2022-02-03 23:11:38,45.6086,10.531,47.79,80,100,2.91
95,San Jose,US,2022-02-03 23:07:11,37.3394,-121.895,66.76,28,75,5.01
96,Alma,CA,2022-02-03 23:07:37,48.5501,-71.6491,5.11,84,100,5.99
97,Teguise,ES,2022-02-03 23:11:19,29.0605,-13.564,66.42,56,0,17.27
98,Caucaia,BR,2022-02-03 23:11:39,-3.7361,-38.6531,82.35,75,0,8.05
99,Hasaki,JP,2022-02-03 23:11:40,35.7333,140.8333,34.29,54,71,13.06
100,Whithorn,JM,2022-02-03 23:11:40,18.2604,-78.0378,76.44,81,31,1.52
101,Panevezys,LT,2022-02-03 23:11:40,55.7333,24.35,25.72,97,98,6.17
102,Kodiak,US,2022-02-03 23:08:04,57.79,-152.4072,42.31,81,100,8.05
103,Grand-Santi,GF,2022-02-03 23:11:41,4.25,-54.3833,72.75,99,77,2.73
