City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Cabo San Lucas,MX,76.6,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
272,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
277,Victor Harbor,AU,78.8,clear sky,-35.5667,138.6167,McCracken Country Club
279,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
289,Daru,PG,78.03,overcast clouds,-9.0763,143.2092,Daru Lodge
294,Puerto Rico,AR,89.15,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
301,Nosy Varika,MG,78.57,light rain,-20.5833,48.5333,Hotel Volazara
305,Weligama,LK,75.61,broken clouds,5.9667,80.4167,Weligama Bay Resort
306,Dhidhdhoo,MV,80.31,broken clouds,6.8833,73.1,Dhidhoo beach
308,Katobu,ID,75.04,scattered clouds,-4.9408,122.5276,La Ode Husein
313,Ikirun,NG,79.75,clear sky,7.9167,4.6667,Turode Hotel
317,Kuching,MY,75.42,heavy intensity rain,1.55,110.3333,The Ranee Boutique Suites
322,Riberalta,BO,89.8,broken clouds,-10.9833,-66.1,Hotel Colonial
323,Pitimbu,BR,86.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
324,Amboasary,MG,76.84,light rain,-25.0333,46.3833,DISCOVERY AMBOASARY
326,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
332,Ancud,CL,75.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
333,Comodoro Rivadavia,AR,76.86,clear sky,-45.8667,-67.5,Austral Hotel
337,Port Elizabeth,ZA,77.09,clear sky,-33.918,25.5701,39 On Nile Guest House
339,Moa,CU,78.37,broken clouds,20.6569,-74.9403,Carmen
342,Tagusao,PH,77.18,overcast clouds,9.1924,117.8141,Green Villa beach resort
352,Calvinia,ZA,78.6,clear sky,-31.4707,19.776,Die Lemoenhuis
354,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
355,Rancho Palos Verdes,US,81.36,clear sky,33.7445,-118.387,Terranea Resort
356,Ilesha,NG,75.72,clear sky,7.1371,5.2583,Tosap Guest House
358,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
360,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
370,Vao,NC,80.04,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
374,Djenne,ML,78.78,clear sky,13.9061,-4.5533,Hôtel Chez Baba
375,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
385,Samarai,PG,81.64,light rain,-10.6167,150.6667,Nuli Sapi
389,Monte Alegre,BR,78.04,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
391,Port-Gentil,GA,80.56,few clouds,-0.7193,8.7815,Fengshui Residence
396,Terra Santa,BR,76.68,moderate rain,-2.1042,-56.4869,Hotel Sarah
407,Palmas,BR,82.27,broken clouds,-10.2128,-48.3603,Hotel Lago da Palma
409,Road Town,VG,75.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
410,Bontang,ID,76.41,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
412,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
413,Pochutla,MX,88.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
418,Campo Maior,BR,84.9,overcast clouds,-4.8278,-42.1686,Elite Hotel
423,Karratha,AU,83.57,clear sky,-20.7377,116.8463,ibis Styles Karratha
427,Gizo,SB,82.71,light rain,-8.103,156.8419,Imagination Island
429,Labuhan,ID,77.18,overcast clouds,-6.8844,112.2051,DoubleFAG
431,Nagapattinam,IN,75.94,broken clouds,10.7667,79.8333,Sathya Lodge
433,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
439,Agnibilekrou,CI,80.91,scattered clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
443,Limbang,MY,79.11,overcast clouds,4.75,115.0,Purnama Hotel
444,Colombo,LK,76.95,overcast clouds,6.9319,79.8478,Galle Face Hotel
447,San Pedro,PH,78.03,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
450,Humaita,BR,85.64,moderate rain,-7.5061,-63.0208,Corrêa Hotel
452,Santa Cruz,BO,89.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
453,Cap Malheureux,MU,79.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
454,Isla Mujeres,MX,77.16,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
456,Kalawit,PH,77.16,scattered clouds,8.0667,122.5167,Ompoy Pension House
457,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
462,Cabedelo,BR,86.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
469,Toamasina,MG,80.6,few clouds,-18.1667,49.3833,Hotel H1
470,Olinda,BR,83.93,clear sky,-8.0089,-34.8553,Hotel Albergue de Olinda
472,San Luis,AR,79.34,clear sky,-33.295,-66.3356,Huarpes Hotel
476,Padang,ID,76.53,overcast clouds,-0.9492,100.3543,Mercure Padang
477,Coihaique,CL,82.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
485,Alta Floresta,BR,87.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
487,Auki,SB,79.21,overcast clouds,-8.7676,160.7034,Auki Motel
494,Padilla,CO,81.97,overcast clouds,3.2204,-76.3139,La Granadina
499,Tual,ID,82.89,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
504,Puerto Varas,CL,80.85,clear sky,-41.3195,-72.9854,Hotel Solace Puerto Varas
505,Ailigandi,PA,81.86,clear sky,9.2333,-78.0167,Akwa Reef Lodge
514,Isla Vista,US,81.07,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
516,Mozarlandia,BR,82.63,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
518,Dibulla,CO,86.02,few clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
526,Kirakira,SB,81.52,overcast clouds,-10.4544,161.9205,SanBiz Lodge
535,La Quinta,US,79.41,clear sky,33.6634,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
536,Talcahuano,CL,76.68,clear sky,-36.7167,-73.1167,departamento comodo
538,Meulaboh,ID,75.58,overcast clouds,4.1363,96.1285,Kost Pria
542,General Roca,AR,86.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
545,Anloga,GH,84.42,broken clouds,5.7947,0.8973,Pin Drop Hotel
548,Morondava,MG,80.74,moderate rain,-20.2833,44.2833,La Case Bambou
551,Sola,VU,82.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
552,Marakkanam,IN,76.26,overcast clouds,12.2,79.95,Samvasa by the Sea
556,Sorong,ID,80.22,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
559,Mananjary,MG,77.9,light rain,-21.2167,48.3333,Vahiny Lodge
565,Sabya,SA,78.42,few clouds,17.1495,42.6254,Aseel Hotel Apartment
